Conversation ID,Original Project,Predicted Project,Confidence,Reason,Timestamp
"1762957911918-4vqhxo78n","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-5zjqjdbnn","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-bvzna01rp","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-txczcbau4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-mvwfy3fy5","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-sku3mkfdx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-9gsue4ezc","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-lmwaqzxqf","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-ka3qgzfmj","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-x0psyi99f","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911918-d12mabtf4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-o17w4ynb7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-xm368mzf1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-v0tieniwk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-ii8dzm1wk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-uayp76lba","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-3ib5afm7u","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-or1q6410q","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-0kbz97wct","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-vtxr47m72","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-f2pj04xav","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-zmuh2apth","uncategorized","jarvis",0.25,"Matched keywords: assistant","2025-11-12T14:31:52.115Z"
"1762957911919-onyflg9mb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-ith3gay11","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-c8wqzkyxj","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-l6ic8gp24","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-ms21z4zxa","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-jn9aken70","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-1hkhj1qoc","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-6qdjtp7bm","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-73nobjpsd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-qosky13vv","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-iveux9x80","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-gqwwr8ukc","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-7qc7t983b","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-nsv3vu3zt","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-p3hd2xob4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-0bjraucd9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-qtg5u2tac","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-u7ld8z4g4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-r1iqr5dwh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-qhqlfv1ln","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-qkxpj5g5k","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-55fka4eqw","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-hd89oxq0t","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-s99fogmq6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-7n8qu1g5d","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-bja6kd1e7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-npqyibrwk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-7w2kdxtqn","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-pu4o0zi99","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-hn63u2e3b","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-2wekdut4o","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-7isbot1t3","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-qf5l91b9c","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-ydy119h5o","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-lasu0uiz9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-4ogui8i5g","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-tmbhy4i54","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-oswl8k4ie","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-rgrr8o7i9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-b780ul5wv","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-g9ezior6a","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-scfw77gas","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-wj6mxudhx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-5vypq8e39","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-as7cy8o4a","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-z31fcc929","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-1c7ktfvki","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-pl0nqdfq4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-scf99vxr6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-8ryvifq2k","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-dgq59pgkl","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-memvhb00v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-w87hjducp","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-w98pqtaoz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-am1l3q1le","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-crnoaaj8x","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-rryy923qu","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-rla2djwyd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-lhjxufwoz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-cjgs4ikny","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-gqp9j1w7q","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-11g7rvwmb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-azpth9om6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-ifelod6xp","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-4vu07hkhg","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-87u9cyukb","uncategorized","jarvis",0.25,"Matched keywords: assistant","2025-11-12T14:31:52.115Z"
"1762957911919-4vrvkvqov","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-gdnieb94n","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-g4odtk1ee","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-were9h5kv","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-fg8u9vwy2","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-9ko0664rl","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-ngcn4goyo","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-8iic092np","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-9sil2322u","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-v98lbo2fq","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-2m8z9vqmg","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
"1762957911919-ccop4q9np","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.115Z"
